pic_id,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
52143165940,Canon,Canon EOS-1D Mark III,4.0,Manual,400.0,Spot,No Flash,24.0,Uncalibrated,Canon TS-E 24mm f/3.5L
51974685678,Apple,iPhone 13 Pro,1.5,Program AE,50.0,Multi-segment,"Off, Did not fire",5.7,Uncalibrated,iPhone 13 Pro back triple camera 5.7mm f/1.5
51973910823,Canon,Canon EOS 5D Mark III,2.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-70mm f/2.8L II USM
51968020497,Canon,Canon EOS 5D Mark III,2.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,EF24-70mm f/2.8L II USM
51969082623,Canon,Canon EOS 5D Mark III,2.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-70mm f/2.8L II USM
51969578805,Canon,Canon EOS 5D Mark III,2.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,EF24-70mm f/2.8L II USM
51969070808,Canon,Canon EOS 5D Mark III,2.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",28.0,sRGB,EF24-70mm f/2.8L II USM
51969065253,Canon,Canon EOS 5D Mark III,2.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",39.0,sRGB,EF24-70mm f/2.8L II USM
